Module                  Size  Used by
drm_buddy              20480  2 xe,i915
processor_thermal_rapl    16384  1 processor_thermal_device
mei_pxp                16384  0
mei_hdcp               28672  0
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
ttm                   110592  3 drm_ttm_helper,xe,i915
mtd                    98304  3 spi_nor,cmdlinepart
intel_rapl_common      40960  2 intel_rapl_msr,processor_thermal_rapl
nls_iso8859_1          12288  1
kvm                  1409024  1 kvm_intel
snd_timer              49152  3 snd_seq,snd_hrtimer,snd_pcm
drm_display_helper    237568  2 xe,i915
cfg80211             1355776  3 rtw89_8852b,rtw89_core,mac80211
mei_me                 53248  2
processor_thermal_wt_req    12288  1 processor_thermal_device
irqbypass              12288  1 kvm
cec                    94208  3 drm_display_helper,xe,i915
rapl                   20480  0
snd                   143360  21 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
spi_intel_pci          12288  0
processor_thermal_power_floor    12288  2 processor_thermal_device_pci,processor_thermal_device
rc_core                73728  1 cec
i2c_i801               36864  0
intel_cstate           24576  0
lenovo_wmi_hotkey_utilities    12288  0
wmi_bmof               12288  0
libarc4                12288  1 mac80211
i2c_algo_bit           16384  2 xe,i915
nvidia_wmi_ec_backlight    12288  0
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
ecc                    45056  2 ecdh_generic,nvidia
spi_intel              32768  1 spi_intel_pci
soundcore              16384  2 snd_ctl_led,snd
i2c_smbus              16384  1 i2c_i801
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
ideapad_laptop         61440  0
sparse_keymap          12288  1 ideapad_laptop
platform_profile       12288  1 ideapad_laptop
intel_pmc_core        118784  0
intel_vsec             20480  1 intel_pmc_core
pmt_telemetry          16384  1 intel_pmc_core
int3403_thermal        16384  0
int3400_thermal        24576  0
acpi_pad              184320  0
pmt_class              12288  1 pmt_telemetry
acpi_thermal_rel       20480  1 int3400_thermal
input_leds             12288  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
joydev                 32768  0
serio_raw              20480  0
mac_hid                12288  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
usbhid                 77824  0
btrfs                2043904  0
blake2b_generic        24576  0
raid10                 73728  0
raid456               196608  0
async_raid6_recov      20480  1 raid456
async_memcpy           16384  2 raid456,async_raid6_recov
async_pq               20480  2 raid456,async_raid6_recov
async_xor              16384  3 async_pq,raid456,async_raid6_recov
async_tx               16384  5 async_pq,async_memcpy,async_xor,raid456,async_raid6_recov
xor                    20480  2 async_xor,btrfs
raid6_pq              126976  4 async_pq,btrfs,raid456,async_raid6_recov
libcrc32c              12288  2 btrfs,raid456
raid1                  57344  0
raid0                  24576  0
dm_mirror              24576  0
dm_region_hash         24576  1 dm_mirror
dm_log                 20480  2 dm_region_hash,dm_mirror
hid_multitouch         36864  0
hid_generic            12288  0
crct10dif_pclmul       12288  1
crc32_pclmul           12288  0
polyval_clmulni        12288  0
nvme                   61440  2
polyval_generic        12288  1 polyval_clmulni
ghash_clmulni_intel    16384  0
sha256_ssse3           32768  0
r8169                 118784  0
ucsi_acpi              12288  0
sha1_ssse3             32768  0
nvme_core             212992  3 nvme
typec_ucsi             61440  1 ucsi_acpi
intel_lpss_pci         28672  0
xhci_pci               24576  0
i2c_hid_acpi           12288  0
intel_lpss             12288  1 intel_lpss_pci
realtek                36864  1
i2c_hid                40960  1 i2c_hid_acpi
typec                 106496  1 typec_ucsi
nvme_auth              28672  1 nvme_core
xhci_pci_renesas       20480  1 xhci_pci
idma64                 20480  0
video                  77824  5 nvidia_wmi_ec_backlight,ideapad_laptop,xe,i915,nvidia_modeset
hid                   180224  4 i2c_hid,usbhid,hid_multitouch,hid_generic
wmi                    28672  5 video,nvidia_wmi_ec_backlight,lenovo_wmi_hotkey_utilities,wmi_bmof,ideapad_laptop
pinctrl_tigerlake      28672  1
aesni_intel           356352  10
crypto_simd            16384  1 aesni_intel
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
